,,,,
01-Jul-18,Score,Fairway,GIR,Putts
Hole 1,7,R,N,2
Hole 2,4,,N,2
Hole 3,5,R,N,1
Hole 4,6,S,N,2
Hole 5,4,,N,1
Hole 6,5,S,Y,2
Hole 7,4,L,Y,2
Hole 8,3,,N,1
Hole 9,4,S,Y,2
Hole 10,5,L,N,2
Hole 11,3,,Y,2
Hole 12,4,S,N,1
Hole 13,4,R,Y,2
Hole 14,6,S,N,2
Hole 15,4,,N,2
Hole 16,5,R,N,2
Hole 17,4,S,N,1
Hole 18,5,R,Y,3
,82,,,32
,,,,
Comment,This round was accidentally delted from Garmin Connect,,,
,,,,
24-Jun-18,Score,Fairway,GIR,Putts
Hole 1,4,R,,1
Hole 2,5,,,3
Hole 3,5,R,,2
Hole 4,5,S,,1
Hole 5,3,,,2
Hole 6,4,R,,1
Hole 7,6,S,,3
Hole 8,4,,,2
Hole 9,6,L,,3
Hole 10,4,R,,2
Hole 11,4,,,2
Hole 12,5,R,,1
Hole 13,4,L,,2
Hole 14,5,S,,2
Hole 15,5,,,3
Hole 16,4,R,,1
Hole 17,5,S,,2
Hole 18,5,R,,2
,83,,,35
